R,H
0.495940443,0.178038408
0.503759375,0.180417303
0.503812623,0.178038408
0.51180976,0.178038408
0.519988794,0.175659512
0.528298535,0.173280617
0.536684342,0.173280617
0.53674107,0.170901721
0.618799581,0.159007243
0.618864988,0.156628347
0.628688379,0.156628347
0.638735205,0.154249452
0.648874,0.154249452
0.648942587,0.151870556
0.659243406,0.151870556
0.748154786,0.139976078
0.760030424,0.139976078
0.760110759,0.137597183
0.772176177,0.137597183
0.784516027,0.135218287
0.796968835,0.135218287
0.809704887,0.132839391
0.918811711,0.123323809
0.933396226,0.123323809
0.933494887,0.120944913
0.948312472,0.120944913
0.96336526,0.120944913
0.963467088,0.118566018
0.978760429,0.118566018
0.994296525,0.118566018
0.994401623,0.116187122
1.010185994,0.116187122
1.146307422,0.10667154
1.164503031,0.10667154
1.182987462,0.10667154
1.183112505,0.104292644
1.201892329,0.104292644
1.22097025,0.104292644
1.240482106,0.101913748
1.260172571,0.101913748
1.452524277,0.094777062
1.475580538,0.094777062
1.499002777,0.094777062
1.522796802,0.094777062
1.546968516,0.094777062
1.571523912,0.094777062
1.839180593,0.099534853
1.839374996,0.097155957
1.868374341,0.099534853
1.898031489,0.099534853
1.928159391,0.099534853
1.958765521,0.099534853
1.989647161,0.101913748
2.292133613,0.10667154
2.328517191,0.10667154
2.365478295,0.10667154
2.403026091,0.10667154
2.440911886,0.109050435
2.479657057,0.109050435
2.519017239,0.109050435
2.901677219,0.116187122
2.947736227,0.116187122
2.99420985,0.118566018
3.041737651,0.118566018
3.090019871,0.118566018
3.13873672,0.120944913
3.61553732,0.1280816
3.672539408,0.130460496
3.672927598,0.1280816
3.730834494,0.130460496
3.789654342,0.132839391
3.790054911,0.130460496
3.849808421,0.132839391
3.910917339,0.132839391
4.504066476,0.144733869
4.575076998,0.147112765
4.647698277,0.147112765
4.720973279,0.149491661
4.795403526,0.151870556
4.795910404,0.149491661
4.871522099,0.151870556
5.436404888,0.163765034
5.522698228,0.163765034
5.609768365,0.16614393
5.698211239,0.168522825
5.698813544,0.16614393
5.788660293,0.168522825
5.879923553,0.170901721
6.460573681,0.178038408
6.665892656,0.182796199
6.771701945,0.182796199
6.87919077,0.182796199
6.987647192,0.185175095
7.097813523,0.18755399
7.098563767,0.185175095
7.210478794,0.18755399
8.305811381,0.194690677
8.437651487,0.194690677
8.570678396,0.197069573
8.7067228,0.197069573
8.844926668,0.197069573
8.985324279,0.197069573
10.51456317,0.20420626
10.68146332,0.20420626
10.85101271,0.20420626
11.0232534,0.20420626
11.19704457,0.206585155
11.3747779,0.206585155
13.10408763,0.211342946
13.31209191,0.211342946
13.52196861,0.213721842
13.73660601,0.213721842
13.95465041,0.213721842
14.17615587,0.213721842
14.39965529,0.216100738
14.40117734,0.213721842
16.58883773,0.220858529
16.85215627,0.220858529
17.11965453,0.220858529
17.38956076,0.223237424
17.66558937,0.223237424
17.94599944,0.223237424
18.23086053,0.223237424
21.00028212,0.230374111
21.33362456,0.230374111
21.67225822,0.230374111
22.0162671,0.230374111
22.36337269,0.232753007
22.71835178,0.232753007
26.58485521,0.239889694
26.58766525,0.237510798
27.0068429,0.239889694
27.4355289,0.239889694
27.87101953,0.239889694
28.31043037,0.242268589
28.75980853,0.242268589
33.1321679,0.24702638
33.65452532,0.249405276
33.65808263,0.24702638
34.18873156,0.249405276
34.73141737,0.249405276
35.28271737,0.249405276
35.83898007,0.251784172
36.40786067,0.251784172
41.938522,0.258920859
41.94295493,0.256541963
42.60422206,0.258920859
43.28048895,0.258920859
43.96749038,0.258920859
44.66067608,0.261299754
45.36958554,0.261299754
52.26160851,0.268436441
53.09116937,0.268436441
53.9281978,0.270815337
53.93389805,0.268436441
54.78421283,0.270815337
55.65381558,0.270815337
56.53124635,0.273194232
56.53722175,0.270815337
57.42858018,0.273194232
66.15246622,0.280330919
66.15945859,0.277952023
67.20251995,0.280330919
68.26924143,0.280330919
69.34556535,0.282709815
70.4463039,0.282709815
71.56451473,0.282709815
82.42705593,0.292225397
83.73544007,0.292225397
85.05560206,0.294604293
85.06459249,0.292225397
86.40570973,0.294604293
87.77724797,0.294604293
89.16113258,0.296983188
102.7054612,0.304119875
104.324702,0.306498771
105.9806727,0.306498771
107.6515501,0.308877666
109.3603286,0.308877666
111.0844892,0.311256562
127.9456367,0.320772144
127.9591607,0.318393249
129.976548,0.320772144
132.0396965,0.320772144
134.1214171,0.32315104
136.250358,0.32315104
138.3984633,0.325529936
156.9147636,0.335045518
159.4055088,0.335045518
161.9186751,0.337424414
164.4888485,0.337424414
167.0821582,0.339803309
169.7342928,0.339803309
195.4770381,0.351697787
195.4977002,0.349318892
198.5798913,0.351697787
201.7106759,0.354076683
201.7319969,0.351697787
204.9124771,0.354076683
208.1431004,0.356455578
208.1651013,0.354076683
211.447005,0.356455578
239.7364538,0.365971161
243.5161074,0.368350056
247.3814961,0.368350056
251.2816804,0.370728952
255.2433545,0.373107848
255.2703339,0.370728952
259.2948926,0.373107848
298.620843,0.385002326
303.3609222,0.385002326
308.1436708,0.387381221
313.0349081,0.387381221
317.9701755,0.389760117
323.0173912,0.389760117
343.9111623,0.396896804
349.3701455,0.396896804
354.9157804,0.396896804
360.5113361,0.399275699
360.5494424,0.396896804
366.2338177,0.399275699
366.2725289,0.396896804
333.4724506,0.39261745
285.6166323,0.379194631
228.9247539,0.359060403
250.0491885,0.372483221
279.3832215,0.375838926
267.3215522,0.369127517
183.4309079,0.345637584
77.3337341,0.285234899
63.35730053,0.271812081
59.2724517,0.271812081
39.77212148,0.251677852
37.20788496,0.251677852
31.16347226,0.241610738
31.15882629,0.244966443
19.55974472,0.224832215
18.91870022,0.224832215
15.84418036,0.216442953
15.15675756,0.214765101
12.55244849,0.208053691
12.00784227,0.206375839
9.408051429,0.197986577
9.619391652,0.197986577
9.72611038,0.19966443
9.834746188,0.19966443
8.420246615,0.194630872
8.235251881,0.194630872
8.054921977,0.19295302
7.705447479,0.191275168
7.45346735,0.189597315
145.3761168,0.32885906
146.9998956,0.32885906
150.290862,0.330536913
123.1289737,0.317114094
125.8667612,0.322147651
121.768876,0.317114094
120.4238021,0.317114094
117.7868442,0.315436242
100.876021,0.303691275
96.49936823,0.302013423
94.39332769,0.298657718
49.63995433,0.263422819
49.63625393,0.265100671
48.01665054,0.261744966
5.059817009,0.157718121
6.106866316,0.174496644
4.146598603,0.137583893
4.239746805,0.137583893
3.473243487,0.125838926
3.249554552,0.124161074
2.752269943,0.112416107
2.603775833,0.110738255
2.330564334,0.105704698
2.180630457,0.102348993
2.062978196,0.100671141
1.805943743,0.095637584
1.689634698,0.093959732
1.634259179,0.093959732
1.708507076,0.093959732
1.430213951,0.095637584
1.338003461,0.095637584
1.058839839,0.112416107
0.916129539,0.120805369
0.876055327,0.127516779
0.801387769,0.132550336
0.507208026,0.177852349
0.548423089,0.169463087
0.554548702,0.169463087
0.573424614,0.166107383
0.606307958,0.161073826
0.693118427,0.149328859
0.732920313,0.14261745
1.107027726,0.110738255
